Date,5375,5600,6400,6600,6775,6800,6825,6850,6875,6900,6925,6950,6975,7000,7025,7050,7075,7100,7125,7150,7175,7200,7225,7250,7275,7300,7325
13/04/2018,1725.5,1514,805.5,647.5,520,502.5,485.5,469,452.5,436,420,404.5,389,373.5,359,344.5,330,316.5,303,289.5,276.5,264,252,240,228.5,217,206.5
16/04/2018,1668,1457,753.5,599,474.5,458,441.5,425,409.5,393.5,378.5,363.5,349,334.5,320.5,306.5,293,280,267.5,255,243,231.5,220,209,198.5,188,178.5
17/04/2018,1695,1482,770,612,485,468,451,434.5,418,402,386.5,371,356,341,326.5,312.5,299,285.5,272.5,259.5,247.5,235.5,223.5,212.5,201.5,191,180.5
18/04/2018,1777,1563,840.5,677,544,526,508,490.5,473,456,439.5,423,406.5,391,375,360,345,330.5,316,302,288.5,275,262.5,249.5,237.5,225.5,214.5
19/04/2018,1793.5,1579.5,855.5,691,557,539,521,503,485.5,468.5,451.5,434.5,418,402,386.5,371,355.5,341,326,312,298,284.5,271.5,258.5,246.5,234,222.5
20/04/2018,1823.5,1609,881.5,716,580.5,562,543.5,525.5,507.5,490,473,456,439,422.5,406.5,390.5,375,359.5,344.5,330,316,302,288,275,262,249.5,237.5
23/04/2018,1862.5,1647,914.5,746.5,608,589,570,551.5,533.5,515.5,497.5,480,463,446,429,412.5,396.5,380.5,365,350,335,320.5,306.5,292.5,279,266,253
24/04/2018,1879.5,1664,929,759.5,620,601,582,563,544.5,526.5,508.5,490.5,473,456,439,422,406,390,374,358.5,343.5,328.5,314,300,286.5,273,260
25/04/2018,1841.5,1627,896,729,591.5,572.5,554,535.5,517.5,499.5,482,464.5,447.5,430.5,414,398,382,366.5,351,336,321.5,307.5,293.5,279.5,266.5,253.5,241
26/04/2018,1884.5,1668.5,931,761,620,601,582,563,544,525.5,507.5,489.5,472,454.5,437.5,420.5,404,388,372,356.5,341,326,311.5,297,283,269.5,256.5
27/04/2018,1966,1749.5,1006.5,833.5,689,669,649,629.5,610,591,572,553.5,535,516.5,498.5,481,463.5,446.5,429.5,413,396.5,380.5,365,349.5,334.5,319.5,305
30/04/2018,1970.5,1754,1009.5,835.5,690.5,670.5,650.5,631,611.5,592,573,554,535.5,517.5,499,481.5,464,446.5,429.5,412.5,396.5,380,364.5,349,333.5,319,304.5
01/05/2018,1981,1764.5,1019,844,698.5,678.5,658.5,638.5,619,599.5,580.5,561.5,542.5,524,506,488,470,452.5,435.5,418.5,402,385.5,370,354,339,324,309
02/05/2018,2017.5,1800,1051.5,875.5,728,708,687.5,667.5,647.5,628,608.5,589,570,551,532.5,514,496,478.5,460.5,443.5,426.5,409.5,393.5,377,361.5,346,331
03/05/2018,1970.5,1754,1009.5,836,691,671,651,631.5,612,592.5,573.5,555,536.5,518,500,482,464.5,447.5,430.5,413.5,397.5,381.5,365.5,350,335,320,306
04/05/2018,2032,1814.5,1064.5,887.5,739.5,719,698.5,678.5,658.5,638.5,619,599.5,580,561,542.5,524,505.5,487.5,470,452.5,435,418,401.5,385.5,369.5,353.5,338.5
07/05/2018,2032,1814.5,1064.5,887.5,739.5,719,698.5,678.5,658.5,638.5,619,599.5,580,561,542.5,524,505.5,487.5,470,452.5,435,418,401.5,385.5,369.5,353.5,338.5
08/05/2018,2038.5,1821,1071,894.5,746,725.5,705,685,664.5,645,625,605.5,586.5,567.5,548.5,530,511.5,493.5,476,458.5,441,424,407.5,391,375,359,343.5
09/05/2018,2124,1906,1150.5,971,819.5,798.5,777.5,757,736,715.5,695.5,675.5,655.5,635.5,616,596.5,577.5,558.5,540,521.5,503.5,485.5,468,450.5,433.5,416.5,400
10/05/2018,2194.5,1976,1218,1037,883.5,862,840.5,819.5,798.5,777.5,757,736,716,695.5,675.5,655.5,636,616.5,597,578,559.5,540.5,522.5,504,486.5,469,451.5
11/05/2018,2215.5,1996.5,1236.5,1054.5,900,878.5,857,835.5,814,793,772,751.5,731,710.5,690,670,650,630.5,611,591.5,572.5,554,535,517,499,481,463.5
14/05/2018,2197,1978.5,1218.5,1036.5,882.5,860.5,839.5,818,797,776,755,734.5,713.5,693.5,673,653,633.5,614,594.5,575.5,556.5,538,519.5,501,483.5,465.5,448.5
15/05/2018,2221,2002.5,1242.5,1060.5,905.5,884,862.5,841,819.5,798.5,777.5,756.5,736,715.5,695,675,655,635.5,616,596.5,577.5,558.5,539.5,521.5,503,485.5,467.5
16/05/2018,2231.5,2013,1253,1070.5,916,894,872.5,851,830,809,788,767,746.5,726,705.5,685,665.5,645.5,626,606.5,587.5,568.5,549.5,531.5,513,495,477.5
17/05/2018,2274,2055.5,1294,1110.5,954.5,932.5,910.5,889,867.5,846,824.5,803.5,782.5,761.5,741,720.5,700,679.5,659.5,640,620.5,601,581.5,563,544,525.5,507.5
18/05/2018,2274.5,2056,1295.5,1112.5,956.5,934.5,912.5,891,869.5,848,827,806,785,764,743.5,723,702.5,682.5,662.5,642.5,623,604,584.5,566,547,529,510.5
21/05/2018,2357.5,2138.5,1374.5,1190,1032,1010,987.5,965.5,944,922,900.5,879,857.5,836,815,794,773.5,752.5,732,712,691.5,671.5,652,632.5,613,594,575
22/05/2018,2388.5,2169,1403,1217.5,1058.5,1036,1013.5,991.5,969.5,947.5,925.5,904,882,860.5,839.5,818,797,776,755.5,734.5,714,694,674,654,634.5,615,595.5
23/05/2018,2279.5,2061,1301.5,1119.5,964.5,942.5,921,899.5,878,857,836,815,794,773.5,753,732.5,712.5,692.5,673,653.5,634,615,596,577,558.5,540.5,522.5
24/05/2018,2234,2016,1260,1079,925.5,904,883,861.5,840.5,819.5,799,778,758,737.5,717.5,697.5,677.5,658,639,619.5,600.5,582,563.5,545.5,527.5,509.5,492
