Name,FTSE 100 - PRICE INDEX,TR UK GVT BMK BID YLD 10Y (£) - RED. YIELD
Code,FTSE100,TRUK10T
07/06/2018,7704.4,1.399
08/06/2018,7681.07,1.389
11/06/2018,7737.43,1.406
12/06/2018,7703.81,1.4
13/06/2018,7703.71,1.368
14/06/2018,7765.79,1.335
15/06/2018,7633.91,1.327
18/06/2018,7631.33,1.323
19/06/2018,7603.85,1.281
20/06/2018,7627.4,1.299
21/06/2018,7556.44,1.277
22/06/2018,7682.27,1.32
25/06/2018,7509.84,1.292
26/06/2018,7537.92,1.303
27/06/2018,7621.69,1.247
28/06/2018,7615.63,1.263
29/06/2018,7636.93,1.279
02/07/2018,7547.85,1.255
03/07/2018,7593.29,1.243
04/07/2018,7573.09,1.275
05/07/2018,7603.22,1.26
06/07/2018,7617.7,1.267
09/07/2018,7687.99,1.258
10/07/2018,7692.04,1.302
11/07/2018,7591.96,1.295
12/07/2018,7651.33,1.283
13/07/2018,7661.87,1.273
16/07/2018,7600.45,1.282
17/07/2018,7626.33,1.261
18/07/2018,7676.28,1.228
19/07/2018,7683.97,1.186
20/07/2018,7678.79,1.232
23/07/2018,7655.79,1.273
24/07/2018,7709.05,1.276
25/07/2018,7658.26,1.273
26/07/2018,7663.17,1.279
27/07/2018,7701.31,1.28
30/07/2018,7700.85,1.344
31/07/2018,7748.76,1.331
01/08/2018,7652.91,1.38
02/08/2018,7575.93,1.377
03/08/2018,7659.1,1.329
06/08/2018,7663.78,1.304
07/08/2018,7718.48,1.325
08/08/2018,7776.65,1.314
09/08/2018,7741.77,1.296
10/08/2018,7667.01,1.243
13/08/2018,7642.45,1.253
14/08/2018,7611.64,1.264
15/08/2018,7497.87,1.226
16/08/2018,7556.38,1.24
17/08/2018,7558.59,1.235
20/08/2018,7591.26,1.224
21/08/2018,7565.7,1.267
22/08/2018,7574.24,1.273
23/08/2018,7563.22,1.272
24/08/2018,7577.49,1.278
27/08/2018,7577.49,1.278
28/08/2018,7617.22,1.452
29/08/2018,7563.21,1.491
30/08/2018,7516.03,1.456
31/08/2018,7432.42,1.43
03/09/2018,7504.6,1.406
04/09/2018,7457.86,1.431
05/09/2018,7383.28,1.445
06/09/2018,7318.96,1.418
07/09/2018,7277.7,1.46
10/09/2018,7279.3,1.469
11/09/2018,7273.54,1.5
12/09/2018,7313.36,1.482
13/09/2018,7281.57,1.503
14/09/2018,7304.04,1.531
17/09/2018,7302.1,1.537
18/09/2018,7300.23,1.57
19/09/2018,7331.12,1.61
20/09/2018,7367.32,1.586
21/09/2018,7490.23,1.554
24/09/2018,7458.41,1.616
25/09/2018,7507.56,1.632
26/09/2018,7511.49,1.595
27/09/2018,7545.44,1.6
28/09/2018,7510.2,1.574
01/10/2018,7495.67,1.589
02/10/2018,7474.55,1.529
03/10/2018,7510.28,1.577
04/10/2018,7418.34,1.669
05/10/2018,7318.54,1.726
08/10/2018,7233.33,1.676
09/10/2018,7237.59,1.718
10/10/2018,7145.74,1.73
11/10/2018,7006.93,1.675
12/10/2018,6995.91,1.634
15/10/2018,7029.22,1.611
16/10/2018,7059.4,1.609
17/10/2018,7054.6,1.576
18/10/2018,7026.99,1.541
19/10/2018,7049.8,1.579
22/10/2018,7042.8,1.529
23/10/2018,6955.21,1.472
24/10/2018,6962.98,1.458
25/10/2018,7004.1,1.443
26/10/2018,6939.56,1.385
29/10/2018,7026.32,1.401
30/10/2018,7035.85,1.399
31/10/2018,7128.1,1.438
01/11/2018,7114.66,1.453
02/11/2018,7094.12,1.493
05/11/2018,7103.84,1.502
06/11/2018,7040.68,1.538
07/11/2018,7117.28,1.532
08/11/2018,7140.68,1.566
09/11/2018,7105.34,1.492
12/11/2018,7053.08,1.453
13/11/2018,7053.76,1.522
14/11/2018,7033.79,1.508
15/11/2018,7038.01,1.37
16/11/2018,7013.88,1.414
19/11/2018,7000.89,1.377
20/11/2018,6947.92,1.385
21/11/2018,7050.23,1.396
22/11/2018,6960.32,1.428
23/11/2018,6952.86,1.382
26/11/2018,7036,1.41
27/11/2018,7016.85,1.393
28/11/2018,7004.52,1.378
29/11/2018,7038.95,1.367
30/11/2018,6980.24,1.367
03/12/2018,7062.41,1.314
04/12/2018,7022.76,1.283
05/12/2018,6921.84,1.316
06/12/2018,6704.05,1.244
07/12/2018,6778.11,1.269
10/12/2018,6721.54,1.199
11/12/2018,6806.94,1.189
12/12/2018,6880.19,1.278
13/12/2018,6877.5,1.293
14/12/2018,6845.17,1.242
17/12/2018,6773.24,1.266
18/12/2018,6701.59,1.281
19/12/2018,6765.94,1.273
20/12/2018,6711.93,1.267
21/12/2018,6721.17,1.32
24/12/2018,6685.99,1.262
25/12/2018,6685.99,1.262
26/12/2018,6685.99,1.262
27/12/2018,6584.68,1.308
28/12/2018,6733.97,1.268
31/12/2018,6728.13,1.269
01/01/2019,6728.13,1.269
02/01/2019,6734.23,1.212
03/01/2019,6692.66,1.195
04/01/2019,6837.42,1.277
07/01/2019,6810.88,1.257
08/01/2019,6861.6,1.271
09/01/2019,6906.63,1.26
10/01/2019,6942.87,1.276
11/01/2019,6918.18,1.29
14/01/2019,6855.02,1.296
15/01/2019,6895.02,1.257
16/01/2019,6862.68,1.309
17/01/2019,6834.92,1.336
18/01/2019,6968.33,1.354
